Log data created at: Sunday, March 12, 2017 20:48:58
Score: 	 Turn: 	 	 Genes: 
221 	 	 548 	 	 GoWhereFoodIs, GoSameDirection, 
221 	 	 497 	 	 GoWhereFoodIs, GoSameDirection, 
220 	 	 540 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
220 	 	 581 	 	 GoWhereFoodIs, GoSameDirection, 
219 	 	 686 	 	 RunAwayFromGhost1, 
217 	 	 544 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
217 	 	 700 	 	 RunAwayFromGhost1, 
214 	 	 821 	 	 RunAwayFromGhost2, 
206 	 	 609 	 	 RunAwayFromGhost2, 
205 	 	 744 	 	 RunAwayFromGhost1, 
202 	 	 516 	 	 GoWhereFoodIs, 
200 	 	 743 	 	 RunAwayFromGhost1, 
198 	 	 766 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
198 	 	 650 	 	 RunAwayFromGhost1, GoSameDirection, 
193 	 	 704 	 	 RunAwayFromGhost1, GoSameDirection, 
188 	 	 534 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
187 	 	 529 	 	 RunAwayFromGhost1, 
186 	 	 547 	 	 GoSameDirection, 
185 	 	 679 	 	 RunAwayFromGhost1, 
182 	 	 654 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
177 	 	 376 	 	 GoWhereFoodIs, 
167 	 	 386 	 	 GoSameDirection, 
167 	 	 679 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
166 	 	 479 	 	 RunAwayFromGhost2, GoSameDirection, 
164 	 	 414 	 	 GoWhereFoodIs, 
163 	 	 445 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
163 	 	 393 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
162 	 	 477 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
161 	 	 420 	 	 RunAwayFromGhost2, GoSameDirection, 
157 	 	 177 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
143 	 	 420 	 	 RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
142 	 	 334 	 	 GoWhereFoodIs, 
136 	 	 170 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
136 	 	 391 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
136 	 	 376 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
135 	 	 211 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoStraight, 
135 	 	 398 	 	 RunAwayFromGhost1, RunAwayFromGhost2, 
134 	 	 236 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
133 	 	 152 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
128 	 	 330 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
127 	 	 152 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
126 	 	 299 	 	 RunAwayFromGhost2, GoSameDirection, 
126 	 	 278 	 	 GoWhereFoodIs, 
125 	 	 151 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoStraight, 
125 	 	 321 	 	 RunAwayFromGhost2, GoSameDirection, 
119 	 	 137 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
117 	 	 126 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
117 	 	 145 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, GoStraight, 
117 	 	 168 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, GoSameDirection, 
117 	 	 141 	 	 GoWhereFoodIs, GoStraight, 
109 	 	 121 	 	 GoWhereFoodIs, RunAwayFromGhost2, GoSameDirection, 
105 	 	 117 	 	 GoWhereFoodIs, RunAwayFromGhost2, 
102 	 	 150 	 	 GoWhereFoodIs, RunAwayFromGhost1, RunAwayFromGhost2, 
102 	 	 136 	 	 GoWhereFoodIs, GoStraight, 
101 	 	 163 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
101 	 	 137 	 	 GoWhereFoodIs, GoSameDirection, GoStraight, 
